ZIP,NAME,FACILITY_TYPE,latitude,longitude
33162,Uleta Fire Station 32,Fire Station,25.92892,-80.1929
33161,Fire Station 18,Fire Station,25.90227,-80.18924
33175,FIre Station 41,Fire Station,25.72089,-80.38243
33014,Northwest Station,Police Station,25.91011,-80.29838
33172,Midwest Station,Police Station,25.79764,-80.34339
33183,Kendall Station,Police Station,25.69613,-80.38112
33186,Hammocks Station,Police Station,25.67464,-80.42293
33160,Intracoastal Station,Police Station,25.9201,-80.15498
33189,South Station,Police Station,25.57101,-80.3665
33102,MIA Airport Station,Police Station,25.79672,-80.2698
33150,Northside Station,Police Station,25.84928,-80.20996
33127,Miami Edison Senior High,Public School,25.83181,-80.2049
33165,Blue Lakes K-8 Center,Public School,25.71817,-80.34423
33161,Arch Creek Elementary,Public School,25.90097,-80.18436
33175,Royal Green Elementary,Public School,25.7223,-80.40552
33031,Redland Middle,Public School,25.53672,-80.45208
33014,Palm Lakes Elementary,Public School,25.89043,-80.3163
33146,Ponce de Leon Middle,Public School,25.71643,-80.27195
33138,Miami Shores Elementary,Public School,25.87037,-80.18724
33147,Lillie C. Evans K-8 Center,Public School,25.8434,-80.22907
33132,School Board Adm - Main Building,Public School,25.78904,-80.19102
33183,Miami Sunset Adult Education,Public School,25.70156,-80.40422
33133,English Center,Public School,25.73991,-80.25164
33186,Jack D. Gordon  Elementary,Public School,25.63004,-80.42992
33135,Former Region Office/Warehouse,Public School,25.76896,-80.23125
33141,Treasure Island Elementary,Public School,25.84661,-80.14668
33167,School For Advanced Studies North,Public School,25.87793,-80.24566
33141,Biscayne Beach Elementary,Public School,25.86171,-80.12652
33177,Robert Morgan Educational Center and Technical College,Public School,25.59915,-80.39007
33132,Miami-Dade Online Academy,Public School,25.78977,-80.19044
33160,Alonzo and Tracy Mourning Senior High,Public School,25.91647,-80.14704
33136,Phillis Wheatley Elementary,Public School,25.79353,-80.19817
33132,Anna Brenner Meyers Telecommunication Complex,Public School,25.78929,-80.19188
33175,Bent Tree Elementary,Public School,25.72133,-80.42071
33014,Hialeah-Miami Lakes Adult Education,Public School,25.89496,-80.30732
33147,Broadmoor Elementary,Public School,25.84959,-80.25367
33185,Jane S. Roberts K-8 Center,Public School,25.7165,-80.4332
33178,John I. Smith K-8 Center,Public School,25.82051,-80.36469
33054,Jan Mann Opportunity School,Public School,25.92121,-80.27275
33055,Charles David Wyche Jr. Elementary,Public School,25.94993,-80.28808
33185,Miami Arts Studio 6-12 at Zelda Glazer,Public School,25.7441,-80.43914
