ZIP,INCOME,Population,HOSPITAL_COUNT,FIRE_STATION_COUNT,POLICE_STATION_COUNT,PUBLIC_SCHOOL_COUNT,PRIVATE_SCHOOL_COUNT,PARK_COUNT,PLAYGROUND_COUNT,HOTEL_COUNT,TOTAL_CAPACITY,FACILITY_SCORE_WEIGHTED,WEIGHTED_RATING
33135,35015.0,35053.0,0.0,0.0,0.0,6.0,17.0,4.0,0.0,6.0,95.0,60.95,Low
33136,52821.0,16611.0,5.0,0.0,0.0,5.0,2.0,10.0,0.0,1.0,199.0,65.99,Low
33137,96758.0,27300.0,0.0,0.0,0.0,2.0,5.0,6.0,0.0,8.0,493.0,32.93,Low
33138,103528.0,28871.0,0.0,2.0,0.0,3.0,13.0,20.0,0.0,11.0,386.0,86.86,Medium
33139,70844.0,34406.0,0.0,0.0,0.0,4.0,4.0,14.0,0.0,172.0,11756.0,165.56,High
331397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0.43,Low
33140,114025.0,19455.0,1.0,0.0,0.0,2.0,10.0,13.0,0.0,39.0,7497.0,131.97,Medium
33141,69749.0,36016.0,0.0,0.0,0.0,2.0,11.0,21.0,0.0,26.0,2230.0,92.3,Medium
33142,43966.0,56437.0,0.0,1.0,0.0,21.0,22.0,18.0,0.0,10.0,1991.0,166.91,High
33143,105648.0,32167.0,3.0,1.0,0.0,5.0,21.0,15.0,0.0,2.0,249.0,108.49,Medium
33144,59179.0,26288.0,0.0,1.0,0.0,7.0,11.0,5.0,0.0,10.0,253.0,59.53,Low
33145,74849.0,29454.0,0.0,0.0,0.0,2.0,9.0,2.0,0.0,1.0,96.0,28.96,Low
33146,132404.0,18861.0,1.0,0.0,0.0,5.0,7.0,5.0,0.0,2.0,135.0,45.35,Low
33147,49511.0,47203.0,0.0,2.0,0.0,15.0,21.0,15.0,0.0,2.0,71.0,125.71,Medium
33149,181429.0,14628.0,0.0,1.0,0.0,3.0,3.0,7.0,0.0,3.0,409.0,37.09,Low
33150,46488.0,31936.0,1.0,0.0,1.0,10.0,12.0,8.0,0.0,1.0,16.0,79.16,Medium
33154,91810.0,14435.0,0.0,2.0,0.0,1.0,1.0,8.0,0.0,12.0,1363.0,42.63,Low
33155,82564.0,43133.0,1.0,1.0,0.0,9.0,20.0,8.0,0.0,0.0,0.0,92.0,Medium
33156,160859.0,32708.0,0.0,2.0,0.0,9.0,22.0,18.0,0.0,3.0,553.0,120.53,Medium
33157,111537.0,69605.0,0.0,2.0,0.0,12.0,35.0,21.0,0.0,0.0,0.0,156.0,High
33158,189886.0,6029.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,14.0,Low
33159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,264.0,2.64,Low
33160,64928.0,43225.0,0.0,4.0,1.0,3.0,4.0,20.0,0.0,7.0,1674.0,93.74,Medium
33161,69088.0,54128.0,0.0,2.0,0.0,8.0,24.0,8.0,0.0,0.0,0.0,96.0,Medium
33162,65446.0,46578.0,0.0,2.0,0.0,7.0,19.0,26.0,0.0,0.0,0.0,119.0,Medium
33165,86800.0,50471.0,1.0,1.0,0.0,13.0,20.0,11.0,0.0,0.0,0.0,110.0,Medium
33166,69967.0,26925.0,0.0,3.0,0.0,8.0,19.0,13.0,0.0,27.0,3221.0,132.21,Medium
33167,72159.0,23209.0,0.0,1.0,0.0,8.0,6.0,6.0,0.0,0.0,0.0,52.0,Low
33168,53625.0,22556.0,0.0,1.0,0.0,4.0,10.0,3.0,0.0,1.0,31.0,42.31,Low
33169,54013.0,42308.0,1.0,1.0,0.0,8.0,25.0,7.0,0.0,1.0,165.0,98.65,Medium
33170,63720.0,14763.0,1.0,0.0,0.0,2.0,7.0,9.0,0.0,1.0,20.0,43.2,Low
33172,61250.0,39465.0,0.0,1.0,1.0,3.0,10.0,4.0,0.0,14.0,2183.0,66.83,Low
33173,94970.0,32042.0,1.0,2.0,0.0,8.0,17.0,7.0,0.0,0.0,0.0,85.0,Medium
33174,65154.0,35056.0,1.0,1.0,0.0,3.0,9.0,5.0,0.0,0.0,0.0,46.0,Low
33175,85639.0,49611.0,1.0,2.0,0.0,10.0,24.0,7.0,0.0,1.0,132.0,106.32,Medium
33176,101390.0,52190.0,2.0,0.0,0.0,10.0,22.0,22.0,0.0,3.0,350.0,131.5,Medium
33177,75758.0,58097.0,0.0,2.0,0.0,11.0,7.0,11.0,0.0,0.0,0.0,77.0,Medium
33178,89222.0,65515.0,0.0,4.0,0.0,10.0,10.0,6.0,0.0,11.0,1743.0,95.43,Medium
33179,66207.0,48275.0,0.0,1.0,0.0,6.0,3.0,5.0,0.0,0.0,0.0,38.0,Low
33180,92037.0,32745.0,1.0,1.0,0.0,4.0,15.0,8.0,0.0,5.0,1190.0,78.9,Medium
33181,67009.0,20969.0,0.0,0.0,0.0,4.0,3.0,11.0,0.0,3.0,153.0,41.53,Low
33182,117596.0,12685.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,13.0,Low
33183,74696.0,33811.0,0.0,2.0,1.0,5.0,13.0,8.0,0.0,2.0,217.0,71.17,Low
33184,76167.0,19618.0,0.0,1.0,0.0,1.0,13.0,2.0,0.0,0.0,0.0,37.0,Low
33185,113192.0,29124.0,0.0,0.0,0.0,7.0,9.0,3.0,0.0,0.0,0.0,45.0,Low
33186,87899.0,67597.0,0.0,2.0,1.0,6.0,26.0,9.0,0.0,3.0,306.0,103.06,Medium
33187,114063.0,18575.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,9.0,Low
33189,78654.0,24627.0,1.0,2.0,1.0,5.0,6.0,10.0,0.0,2.0,261.0,66.61,Low
33190,91595.0,17280.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,Low
33192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,Low
33193,86605.0,46519.0,1.0,1.0,0.0,3.0,3.0,9.0,0.0,0.0,0.0,42.0,Low
33194,130060.0,7789.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,Low
33196,98058.0,53846.0,1.0,1.0,0.0,10.0,14.0,7.0,0.0,0.0,0.0,81.0,Medium
33199,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,Low
33301,0.0,17831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33304,0.0,18566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33305,0.0,12961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33306,0.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33308,0.0,27261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33309,0.0,38074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33311,0.0,73280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33312,0.0,53547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33313,0.0,64228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33314,0.0,30121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33315,0.0,13211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33316,0.0,12039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33317,0.0,37008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33319,0.0,52474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33321,0.0,50414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33322,0.0,40522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33323,0.0,23083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33324,0.0,50072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33325,0.0,30947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33326,0.0,32560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33327,0.0,23039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33328,0.0,29379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33330,0.0,14384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33331,0.0,25107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33332,0.0,11603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33334,0.0,30889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33351,0.0,34582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33441,0.0,30214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33442,0.0,31146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
