ZIP,HOSPITAL_COUNT,FIRE_STATION_COUNT,POLICE_STATION_COUNT,PUBLIC_SCHOOL_COUNT,PRIVATE_SCHOOL_COUNT,PARK_COUNT,PLAYGROUND_COUNT,TOTAL_CAPACITY,WEIGHTED_RATING
33165,1.0,1.0,0.0,13.0,20.0,11.0,0.0,0.0,Medium
33166,0.0,3.0,0.0,8.0,19.0,13.0,0.0,3221.0,Medium
33167,0.0,1.0,0.0,8.0,6.0,6.0,0.0,0.0,Low
33168,0.0,1.0,0.0,4.0,10.0,3.0,0.0,31.0,Low
33169,1.0,1.0,0.0,8.0,25.0,7.0,0.0,165.0,Medium
33170,1.0,0.0,0.0,2.0,7.0,9.0,0.0,20.0,Low
33172,0.0,1.0,1.0,3.0,10.0,4.0,0.0,2183.0,Low
33173,1.0,2.0,0.0,8.0,17.0,7.0,0.0,0.0,Medium
33174,1.0,1.0,0.0,3.0,9.0,5.0,0.0,0.0,Low
33175,1.0,2.0,0.0,10.0,24.0,7.0,0.0,132.0,Medium
33176,2.0,0.0,0.0,10.0,22.0,22.0,0.0,350.0,Medium
33177,0.0,2.0,0.0,11.0,7.0,11.0,0.0,0.0,Medium
33178,0.0,4.0,0.0,10.0,10.0,6.0,0.0,1743.0,Medium
33179,0.0,1.0,0.0,6.0,3.0,5.0,0.0,0.0,Low
33180,1.0,1.0,0.0,4.0,15.0,8.0,0.0,1190.0,Medium
33181,0.0,0.0,0.0,4.0,3.0,11.0,0.0,153.0,Low
33182,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,Low
33183,0.0,2.0,1.0,5.0,13.0,8.0,0.0,217.0,Low
33184,0.0,1.0,0.0,1.0,13.0,2.0,0.0,0.0,Low
33185,0.0,0.0,0.0,7.0,9.0,3.0,0.0,0.0,Low
33186,0.0,2.0,1.0,6.0,26.0,9.0,0.0,306.0,Medium
33187,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,Low
33189,1.0,2.0,1.0,5.0,6.0,10.0,0.0,261.0,Low
33190,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Low
33192,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Low
33193,1.0,1.0,0.0,3.0,3.0,9.0,0.0,0.0,Low
33194,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Low
33196,1.0,1.0,0.0,10.0,14.0,7.0,0.0,0.0,Medium
33199,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Low
33301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
33442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
